[2021-03-06 10:21] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:21] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:21] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:27] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:28] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:30] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:30] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:30] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:31] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:33] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:33] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:35] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:36] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:39] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:39] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:40] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:42] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:43] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:44] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:44] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:44] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:46] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:47] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:47] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:52] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:52] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:57] Ingreso de Usuario Yucsan id=3
[2021-03-06 10:58] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:00] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:03] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:03] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:12] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:13] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:14] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:16] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:18] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:18] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:21] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:24] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:43] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:45] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:45] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:46] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:46] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:47] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:57] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:57] Ingreso de Usuario Yucsan id=3
[2021-03-06 11:59] Ingreso de Usuario Yucsan id=3
[2021-03-06 14:55] Ingreso de Usuario Yucsan id=3
[2021-03-06 14:56] Ingreso de Usuario Yucsan id=3
[2021-03-09 07:53] Ingreso de Usuario Yucsan id=3
[2021-03-11 09:43] Ingreso de Usuario Yucsan id=3
[2021-04-02 13:16] Ingreso de Usuario Yucsan id=3
[2021-04-02 13:33] Ingreso de Usuario Yucsan id=3
[2021-04-02 13:41] Ingreso de Usuario Yucsan id=3
[2021-04-02 17:15] Ingreso de Usuario Yucsan id=3
[2021-04-02 18:04] Ingreso de Usuario Yucsan id=3
[2021-04-02 21:59] Ingreso de Usuario Yucsan id=3
[2021-04-02 22:15] Ingreso de Usuario Yucsan id=3
[2021-04-02 22:27] Ingreso de Usuario Yucsan id=3
[2021-04-02 23:42] Ingreso de Usuario Yucsan id=3
[2021-04-02 23:43] Ingreso de Usuario Yucsan id=3
[2021-04-05 20:54] Ingreso de Usuario Yucsan id=3
[2021-04-05 20:55] Ingreso de Usuario Yucsan id=3
[2021-04-06 10:29] Ingreso de Usuario Yucsan id=3
[2021-04-06 10:42] Ingreso de Usuario Yucsan id=3
[2021-04-06 11:19] Ingreso de Usuario Yucsan id=3
[2021-04-06 11:36] Ingreso de Usuario Yucsan id=3
[2021-04-06 11:37] Ingreso de Usuario Yucsan id=3
[2021-04-06 11:38] Ingreso de Usuario Yucsan id=3
[2021-04-06 12:00] Ingreso de Usuario Yucsan id=3
[2021-04-06 12:01] Ingreso de Usuario Yucsan id=3
[2021-04-06 13:53] Ingreso de Usuario Yucsan id=3
[2021-04-06 16:05] Ingreso de Usuario Yucsan id=3
[2021-04-06 16:05] Ingreso de Usuario Yucsan id=3
[2021-04-06 16:08] Ingreso de Usuario Yucsan id=3
[2021-04-06 16:28] Ingreso de Usuario Yucsan id=3
[2021-04-06 16:34] Ingreso de Usuario Yucsan id=3
[2021-04-06 16:39] Ingreso de Usuario Yucsan id=3
[2021-04-14 12:26] Ingreso de Usuario Yucsan id=3
